SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
15-1254,"Web Developers",2.04197598044,2.08585887158,2.19282757394,0.106968702357,0.0512828091174,0.000332295734712,52.4080977609,"Bachelor's degree",None,None
51-1011,"First-Line Supervisors of Production and Operating Workers",2.02954025727,2.04264108543,2.04769656368,0.0050554782426,0.0024749713881,0.000330272039132,35.2203066122,"High school diploma or equivalent","Less than 5 years",None
11-9041,"Architectural and Engineering Managers",1.97586402836,2.04916077853,2.26844760378,0.219286825245,0.107012991632,0.000321537175406,80.3203747229,"Bachelor's degree","5 years or more",None
29-1126,"Respiratory Therapists",1.9640415771,1.98754108074,2.04581307424,0.0582719935062,0.0293186360126,0.000319613279059,46.1053176378,"Associate's degree",None,None
11-9151,"Social and Community Service Managers",1.95653859292,1.99931298928,2.09516849359,0.0958555043152,0.0479442212547,0.000318392300133,44.244,"Bachelor's degree","Less than 5 years",None
53-7199,"Material Moving Workers, All Other",1.92315925191,2.0326531067,2.31726972495,0.28461661825,0.140022228737,0.000312960398509,33.4998853845,"No formal educational credential",None,"Short-term on-the-job training"
15-1231,"Computer Network Support Specialists",1.86960985417,1.89946197868,1.9596213555,0.0601593768171,0.0316717983789,0.000304246174327,43.3348345624,"Associate's degree",None,None
43-4071,"File Clerks",1.81885448146,1.84100945071,1.85863667115,0.0176272204388,0.00957475825664,0.000295986628659,20.3126360296,"High school diploma or equivalent",None,"Short-term on-the-job training"
11-9111,"Medical and Health Services Managers",1.80684877827,1.85301901251,1.96777348437,0.114754471858,0.0619283834018,0.000294032911279,70.761021385,"Bachelor's degree","Less than 5 years",None
51-4121,"Welders, Cutters, Solderers, and Brazers",1.79296805589,1.8100743437,1.84144707518,0.0313727314809,0.0173322889141,0.00029177406745,29.5930260812,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
53-7021,"Crane and Tower Operators",1.70356283205,1.7080687274,1.70017539984,-0.00789332755716,-0.00462120020732,0.000277224937182,49.2053594648,"High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training"
49-2011,"Computer, Automated Teller, and Office Machine Repairers",1.61205631447,1.62501946271,1.64361118988,0.0185917271777,0.01144092585,0.000262333858256,25.2809154164,"Some college, no degree",None,"Short-term on-the-job training"
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.57077390555,1.64368639188,1.86885194786,0.225165555978,0.136988148767,0.000255615871103,16.3426516916,"No formal educational credential",None,"Short-term on-the-job training"
49-3092,"Recreational Vehicle Service Technicians",1.56239110199,1.64825651371,1.85244997712,0.204193463415,0.123884517803,0.000254251717023,28.1782354601,"High school diploma or equivalent",None,"Long-term on-the-job training"
51-8021,"Stationary Engineers and Boiler Operators",1.54077462397,1.57167271433,1.63968892713,0.0680162127931,0.0432763209368,0.000250734014799,48.969167629,"High school diploma or equivalent",None,"Long-term on-the-job training"
49-3053,"Outdoor Power Equipment and Other Small Engine Mechanics",1.51647274621,1.67554639842,1.71445177052,0.0389053721031,0.0232195134314,0.000246779310923,25.5503224477,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
49-3093,"Tire Repairers and Changers",1.51336570575,1.60505917745,1.85379568781,0.248736510363,0.154970305057,0.000246273694646,19.8373557502,"High school diploma or equivalent",None,"Short-term on-the-job training"
51-2098,"Miscellaneous Assemblers and Fabricators",1.49103919856,1.52469081162,1.6078393011,0.0831484894871,0.0545346563733,0.000242640447643,21.0981099345,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
15-1212,"Information Security Analysts",1.38835415148,1.4465317906,1.62019959986,0.173667809257,0.120058066048,0.000225930259331,71.6182232717,"Bachelor's degree","Less than 5 years",None
11-3061,"Purchasing Managers",1.35782420558,1.3838361836,1.44254883967,0.0587126560678,0.0424274612585,0.000220962046726,77.3161289813,"Bachelor's degree","5 years or more",None
49-3051,"Motorboat Mechanics and Service Technicians",1.34108617011,1.36019918874,1.40163850659,0.041439317847,0.0304656245864,0.000218238225366,32.1324071942,"High school diploma or equivalent",None,"Long-term on-the-job training"
47-5071,"Roustabouts, Oil and Gas",1.33354109925,1.33780563877,1.33180668897,-0.0059989497949,-0.00448417140806,0.000217010397571,28.294266254,"No formal educational credential",None,"Moderate-term on-the-job training"
53-5011,"Sailors and Marine Oilers",1.30802756974,1.32117815431,1.3298564395,0.00867828519407,0.00656859573841,0.000212858518649,30.6470863132,"No formal educational credential",None,"Moderate-term on-the-job training"
43-4061,"Eligibility Interviewers, Government Programs",1.29752390049,1.35607866026,1.53604452171,0.179965861448,0.1327104885,0.000211149230916,27.7546735529,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
11-3111,"Compensation and Benefits Managers",1.27620376001,1.29852272219,1.34715569821,0.0486329760238,0.0374525414095,0.000207679752425,94.8938743725,"Bachelor's degree","5 years or more",None
39-9031,"Exercise Trainers and Group Fitness Instructors",1.25890710827,1.27445445386,1.30012878178,0.0256743279199,0.0201453475581,0.000204865026076,23.3152954454,"High school diploma or equivalent",None,"Short-term on-the-job training"
43-3061,"Procurement Clerks",1.25138724743,1.2677229818,1.29909257856,0.0313695967615,0.0247448355925,0.000203641300768,22.0288149876,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
43-4011,"Brokerage Clerks",1.25053388279,1.28468226146,1.36924233828,0.0845600768133,0.065821782825,0.000203502430659,28.3813460694,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
43-4121,"Library Assistants, Clerical",1.24874038196,1.28621529803,1.38795009975,0.10173480172,0.0790962460768,0.000203210569891,22.1942578712,"High school diploma or equivalent",None,"Short-term on-the-job training"
37-3019,"Grounds Maintenance Workers, All Other",1.2409163848,1.30366375884,1.50267717154,0.199013412697,0.152657010942,0.000201937351738,19.8183363114,"No formal educational credential",None,"Short-term on-the-job training"
41-3031,"Securities, Commodities, and Financial Services Sales Agents",1.20077239746,1.22011630305,1.26169941787,0.0415831148268,0.0340812713697,0.000195404622708,34.5730200991,"Bachelor's degree",None,"Moderate-term on-the-job training"
15-1243,"Database Architects",1.17715316104,1.22737362253,1.38103127266,0.153657650131,0.125192237564,0.000191561006723,67.8375979764,"Bachelor's degree",None,None
43-6012,"Legal Secretaries and Administrative Assistants",1.15151513299,1.16969970635,1.2089558795,0.0392561731502,0.0335608985255,0.000187388867849,27.707994435,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
27-3091,"Interpreters and Translators",1.15099508415,1.17160360251,1.22038470884,0.0487811063263,0.0416361866946,0.000187304239033,36.3334172205,"Bachelor's degree",None,None
15-2031,"Operations Research Analysts",1.1502105133,1.20557817653,1.37942752052,0.173849343993,0.14420412328,0.000187176563903,47.1389196059,"Bachelor's degree",None,None
